# lambda =           0.0000000000000000E+00
# m =           2.0000000000000000E+00
# t_perp =           5.0000000000000000E-01
          0.0000000000000000E+00          0.0000000000000000E+00          0.0000000000000000E+00         -4.5000000000000000E+00         -3.5000000000000000E+00          3.5000000000000000E+00          4.5000000000000000E+00
          3.1415926535897934E-02          3.1415926535897934E-02          0.0000000000000000E+00         -4.4996299031528384E+00         -3.4996299031528393E+00          3.4996299031528388E+00          4.4996299031528384E+00
          6.2831853071795868E-02          6.2831853071795868E-02          0.0000000000000000E+00         -4.4985197724369979E+00         -3.4985197724369987E+00          3.4985197724369987E+00          4.4985197724369987E+00
          9.4247779607693788E-02          9.4247779607693788E-02          0.0000000000000000E+00         -4.4966700874125793E+00         -3.4966700874125802E+00          3.4966700874125798E+00          4.4966700874125802E+00
          1.2566370614359174E-01          1.2566370614359174E-01          0.0000000000000000E+00         -4.4940816476240029E+00         -3.4940816476240033E+00          3.4940816476240029E+00          4.4940816476240029E+00
          1.5707963267948966E-01          1.5707963267948966E-01          0.0000000000000000E+00         -4.4907555730175739E+00         -3.4907555730175748E+00          3.4907555730175730E+00          4.4907555730175730E+00
          1.8849555921538758E-01          1.8849555921538758E-01          0.0000000000000000E+00         -4.4866933045284698E+00         -3.4866933045284703E+00          3.4866933045284694E+00          4.4866933045284698E+00
          2.1991148575128555E-01          2.1991148575128555E-01          0.0000000000000000E+00         -4.4818966048395197E+00         -3.4818966048395192E+00          3.4818966048395183E+00          4.4818966048395197E+00
          2.5132741228718347E-01          2.5132741228718347E-01          0.0000000000000000E+00         -4.4763675593148813E+00         -3.4763675593148817E+00          3.4763675593148808E+00          4.4763675593148813E+00
          2.8274333882308139E-01          2.8274333882308139E-01          0.0000000000000000E+00         -4.4701085771124269E+00         -3.4701085771124269E+00          3.4701085771124274E+00          4.4701085771124278E+00
          3.1415926535897931E-01          3.1415926535897931E-01          0.0000000000000000E+00         -4.4631223924793098E+00         -3.4631223924793098E+00          3.4631223924793098E+00          4.4631223924793098E+00
          3.4557519189487723E-01          3.4557519189487723E-01          0.0000000000000000E+00         -4.4554120662360015E+00         -3.4554120662360015E+00          3.4554120662360028E+00          4.4554120662360024E+00
          3.7699111843077515E-01          3.7699111843077515E-01          0.0000000000000000E+00         -4.4469809874547801E+00         -3.4469809874547797E+00          3.4469809874547805E+00          4.4469809874547810E+00
