# m =           1.0000000000000000E+00
# t_perp =           2.0000000000000001E-01
# mu =          -1.0000000000000000E+00
# eta =           2.9999999329447746E-02
# nk = 251
# columns: Lambda Mx_from_chi My_from_chichi_fix_x chi_fix_y chi_fs_x chi_fs_y chi_tot_x chi_tot_y
         0.0000000000000000E+000         -1.5080805594346289E-015         -4.3168993154248338E-016         -3.6301954424974557E-019          2.9758780973232341E-002         -2.4248295771245143E-018         -7.1742464918921736E-002         -2.7878491213742597E-018         -4.1983683945689396E-002
         9.9999997764825821E-003         -1.5081143942651814E-015         -4.1960255391553951E-004         -1.6388746415158416E-019          2.9750983599711015E-002         -3.8152296762169860E-018         -7.1687812312812807E-002         -3.9791171403685699E-018         -4.1936828713101795E-002
         1.9999999552965164E-002         -1.5081188174643839E-015         -8.3924164265892229E-004         -1.1983169421836261E-019          2.9533367858270085E-002          3.2143089743278443E-018         -7.1524358769777807E-002          3.0944772801094818E-018         -4.1990990911507722E-002
         2.9999999329447746E-002         -1.5081117156744294E-015         -1.2593130121641143E-003          2.0089431089549027E-019          2.9230320378015203E-002         -1.8750135683579090E-018         -7.1253605245411272E-002         -1.6741192574624187E-018         -4.2023284867396066E-002
         3.9999999105930328E-002         -1.5081197514466857E-015         -1.6797413491591168E-003          1.8327200292220165E-019          2.8815629882759135E-002         -1.1630723262370490E-019         -7.0878014293824759E-002          6.6964770298496749E-020         -4.2062384411065620E-002
         4.9999997019767761E-002         -1.5080942695946723E-015         -2.1001861071875357E-003         -2.0441877249014798E-019          2.8374368684323015E-002          5.2338254680667200E-018         -7.0400953421267190E-002          5.0294066955765722E-018         -4.2026584736944178E-002
         5.9999998658895493E-002         -1.5080658051570528E-015         -2.5216353213233472E-003         -6.9608116494490049E-020          2.7563374372486543E-002          7.3308801168880660E-019         -6.9826618646525007E-002          6.6347989519431655E-019         -4.2263244274038464E-002
         7.0000000298023224E-002         -1.5080702591961231E-015         -2.9463972318308400E-003          2.2204108046343660E-019          2.6470819487341445E-002         -1.7763286437074928E-018         -6.9159943390023251E-002         -1.5542875632440562E-018         -4.2689123902681807E-002
         7.9999998211860657E-002         -1.5080647786594867E-015         -3.3751754340957192E-003          2.0441877249014798E-019          2.5339959463657868E-002          2.4459763466924603E-018         -6.8406493903976365E-002          2.6503951191826081E-018         -4.3066534440318494E-002
         8.9999996125698090E-002         -1.5080657655085274E-015         -3.8077616064730903E-003         -2.1146769567946342E-020          2.4121637975459007E-002         -2.8266181989154948E-018         -6.7572356059520042E-002         -2.8477649684834412E-018         -4.3450718084061035E-002
         9.9999994039535522E-002         -1.5080903001616849E-015         -4.2448844195047486E-003          2.3878227303806079E-019          2.2690156570421848E-002         -2.2979489597168359E-018         -6.6664019330881313E-002         -2.0591666866787752E-018         -4.3973862760459462E-002
         1.0999999940395355E-001         -1.5081080194018574E-015         -4.6863813547174888E-003         -2.7490800438330246E-019          2.1362781756530665E-002         -1.2097714423662638E-018         -6.5688258671162195E-002         -1.4846794467495663E-018         -4.4325476914631526E-002
         1.1999999731779099E-001         -1.5081117663443086E-015         -5.1322697164789752E-003         -1.1454500182637603E-020          1.9799809448967857E-002          7.4674530036810522E-019         -6.4652023490549632E-002          7.3529080018546759E-019         -4.4852214041581774E-002
         1.2999999523162842E-001         -1.5081062880104603E-015         -5.5832634102679400E-003          4.4496327632553763E-019          1.8215781961180674E-002         -8.4587078271785369E-020         -6.3562325494319061E-002          3.6037619805375227E-019         -4.5346543533138384E-002
         1.4000000059604645E-001         -1.5080915601586710E-015         -6.0395607885763893E-003          5.0576023883338335E-019          1.6513258349587653E-002          2.0794323408480571E-018         -6.2426141522767764E-002          2.5851925796814404E-018         -4.5912883173180111E-002
         1.4999999105930328E-001         -1.5080541744679594E-015         -6.4999667696606705E-003         -1.8503423371953052E-019          1.5081927583817562E-002          5.0769869271044516E-018         -6.1250328443049354E-002          4.8919526933849214E-018         -4.6168400859231795E-002
         1.5999999642372131E-001         -1.5080278869266357E-015         -6.9639833631989726E-003         -2.3988366728639133E-019          1.3406668472793211E-002          6.0543641830729719E-019         -6.0041536537668902E-002          3.6555275102090586E-019         -4.6634868064875691E-002
         1.7000000178813934E-001         -1.5080339803935835E-015         -7.4338674794810905E-003          1.9208315690884596E-019          1.1464251211338464E-002         -1.7763286437074928E-018         -5.8806155989816984E-002         -1.5842454867986469E-018         -4.7341904778478522E-002
         1.7999999225139618E-001         -1.5080505805918630E-015         -7.9110857130940543E-003         -1.5860077175959757E-020          9.4484263366402792E-003         -1.7199372581929693E-018         -5.7550259302995718E-002         -1.7357973353689289E-018         -4.8101832966355437E-002
         1.8999999761581421E-001         -1.5080656080230486E-015         -8.3952588540127659E-003          2.5288011941669167E-019          7.5468117162884483E-003         -1.5225674088921367E-018         -5.6279554987560571E-002         -1.2696872894754451E-018         -4.8732743271272125E-002
         2.0000000298023224E-001         -1.5080765911323847E-015         -8.8863943186734736E-003         -2.8900585076193335E-019          5.5050726006807653E-003         -6.3792754863304808E-019         -5.4999369568459487E-002         -9.2693339939498147E-019         -4.9494296967778725E-002
