# m = 1.0000000000000000e+00
# t_perp = 2.0000000000000001e-01
# mu = 0.0000000000000000e+00
# d = 1.0000000000000000e+00
# nk = 251
# eta = 2.9999999999999999e-02
# prefactor = 1.0000000000000000e+00
# columns: lambda Mx My Mx_from_chi My_from_chi chi_fix_x chi_fix_y chi_fs_x chi_fs_y chi_tot_x chi_tot_y
          0.0000000000000000e+00         -3.4185900725369723e-19          7.4302043513107870e-20         -3.4185900725369723e-19          7.4302043513107870e-20          4.9432811072141509e-20          1.6050571324855250e-02          0.0000000000000000e+00        -1.3226209550322769e-313          4.9432811072141509e-20          1.6050571324855250e-02
          1.0000000000000000e-02          1.4807385204547588e-19          1.6045771881551197e-04         -3.4268377945284552e-19          1.6047236251727661e-04         -2.1438725090179593e-19          1.6043901178600058e-02          0.0000000000000000e+00        -7.3473071134346242e-314         -2.1438725090179593e-19          1.6043901178600058e-02
          2.0000000000000000e-02          1.9139478550363942e-19          3.2078215492356490e-04         -3.4493222848527822e-19          3.2081141825859817e-04         -2.3530255558474156e-19          1.6023909969664265e-02         -0.0000000000000000e+00         3.2836743081653939e-314         -2.3530255558474156e-19          1.6023909969664265e-02
          2.9999999999999999e-02          6.8191448142574908e-19          4.8084040928032904e-04         -3.4762964625515048e-19          4.8088424423853564e-04         -3.0418099838971266e-19          1.5990655226323234e-02          0.0000000000000000e+00         9.1720450185963749e-314         -3.0418099838971266e-19          1.5990655226323234e-02
          4.0000000000000001e-02          2.6961442827726386e-19          6.4050034695902315e-04         -3.5093584678882363e-19          6.4055868184120335e-04         -3.5705910834491311e-19          1.5944232294210291e-02         -0.0000000000000000e+00         9.9157999049188914e-314         -3.5705910834491311e-19          1.5944232294210291e-02
          5.0000000000000003e-02          1.6737062346192954e-19          7.9963097123399575e-04         -3.5238372417932233e-19          7.9970371102748745e-04          6.7483630245171238e-20          1.5884773543046519e-02          0.0000000000000000e+00         9.0645755030916563e-314          6.7483630245171238e-20          1.5884773543046519e-02
          5.9999999999999998e-02         -1.3361288975059850e-19          9.5810278823761478e-04         -3.5258061561049653e-19          9.5818981511145145e-04         -1.0686191648001404e-19          1.5812447273746300e-02         -0.0000000000000000e+00         8.1927035253026320e-314         -1.0686191648001404e-19          1.5812447273746300e-02
          7.0000000000000007e-02         -4.4087435017861063e-19          1.1157881592809419e-03         -3.5300333588579135e-19          1.1158893331954850e-03          2.2317861421054055e-20          1.5727456343060397e-02         -0.0000000000000000e+00         7.3021941107343218e-314          2.2317861421054055e-20          1.5727456343060397e-02
          8.0000000000000002e-02         -2.7304940158924473e-19          1.2725616381206598e-03         -3.5387340722572352e-19          1.2726767975460892e-03         -1.9633212940748365e-19          1.5630036527060465e-02          0.0000000000000000e+00         6.2539901088852130e-314         -1.9633212940748365e-19          1.5630036527060465e-02
          8.9999999999999997e-02         -4.1372498195726282e-19          1.4283002906871204e-03         -3.5517978126923946e-19          1.4284292534234367e-03         -6.4942679295702426e-20          1.5520454648409031e-02          0.0000000000000000e+00         5.0852422257238958e-314         -6.4942679295702426e-20          1.5520454648409031e-02
          1.0000000000000001e-01          7.2027053612386012e-19          1.5828839950513568e-03         -3.5634865312456537e-19          1.5830265591424675e-03         -1.6883169176948052e-19          1.5399006495397091e-02         -0.0000000000000000e+00         3.9129509007862113e-314         -1.6883169176948052e-19          1.5399006495397091e-02
          1.1000000000000000e-01          8.7508526515482144e-19          1.7361957197021046e-03         -3.5718251612858364e-19          1.7363516644350119e-03          2.0590909658242030e-21          1.5266014563111798e-02         -0.0000000000000000e+00         2.8487585838510713e-314          2.0590909658242030e-21          1.5266014563111798e-02
          1.2000000000000000e-01         -7.7138899667450129e-20          1.8881217785147112e-03         -3.5794603617963239e-19          1.8882908654945445e-03         -1.5476310117557088e-19          1.5121825648794749e-02          0.0000000000000000e+00         1.9637772609008972e-314         -1.5476310117557088e-19          1.5121825648794749e-02
          1.3000000000000000e-01         -2.1550155211397409e-19          2.0385520611197168e-03         -3.5881007566512643e-19          2.0387340354107238e-03         -1.8044795923234167e-20          1.4966808334441127e-02          0.0000000000000000e+00         1.2830619202924656e-314         -1.8044795923234167e-20          1.4966808334441127e-02
          1.4000000000000001e-01          9.7900181248480781e-20          2.1873802377108962e-03         -3.5855598057017956e-19          2.1875748290329103e-03          6.8863814912610439e-20          1.4801350389996134e-02         -0.0000000000000000e+00         7.9535306583558414e-315          6.8863814912610439e-20          1.4801350389996134e-02
          1.4999999999999999e-01          1.8844855588935522e-19          2.3345039376637187e-03         -3.5713741059225750e-19          2.3347108616336553e-03          2.1485018067179735e-19          1.4625856130152893e-02          0.0000000000000000e+00         4.6820642335495739e-315          2.1485018067179735e-19          1.4625856130152893e-02
          1.6000000000000000e-01          4.9602666716376239e-19          2.4798249016608561e-03         -3.5602528205232701e-19          2.4800438610682127e-03          7.5755273142984882e-21          1.4440743756758577e-02          0.0000000000000000e+00         2.6196804301133169e-315          7.5755273142984882e-21          1.4440743756758577e-02
          1.7000000000000001e-01         -2.5785016096228330e-19          2.6232491073331496e-03         -3.5526618908987803e-19          2.6234797934386982e-03          1.4424306517550122e-19          1.4246442717338468e-02          0.0000000000000000e+00         1.3941891623684192e-315          1.4424306517550122e-19          1.4246442717338468e-02
          1.7999999999999999e-01          1.1260379446369349e-19          2.7646868687191241e-03         -3.5279771934705621e-19          2.7649289625663776e-03          3.4945088338886729e-19          1.4043391108197445e-02          0.0000000000000000e+00         7.0623692999586271e-316          3.4945088338886729e-19          1.4043391108197445e-02
