# m =           1.0000000000000000E+00
# t_perp =           2.0000000000000001E-01
# mu =          -1.0000000000000000E+00
# d =           1.0000000000000000E+00
# delta=          1.0000000000000000E-03
# nk=101
# columns: Lambda Mx My
          0.0000000000000000E+00         -1.0345328501151916E-17          5.3497981454695340E-18
          9.9999997764825821E-03         -5.9774071346519721E-18         -4.1586062677112149E-04
          1.9999999552965164E-02          2.9518868206786984E-18         -8.3168808994755767E-04
          2.9999999329447746E-02         -4.1477593724002651E-17         -1.2476498540302397E-03
          3.9999999105930328E-02         -2.9935161027999733E-17         -1.6634317674561194E-03
          4.9999997019767761E-02          7.0484088454354172E-18         -2.0838629688168884E-03
          5.9999998658895493E-02         -3.4078873109082649E-19         -2.5085104577179406E-03
          7.0000000298023224E-02         -3.4715896355922091E-17         -2.9343544277766927E-03
          7.9999998211860657E-02         -7.7691668084370934E-17         -3.3646229790998444E-03
          8.9999996125698090E-02          6.6259940709695430E-18         -3.7928513294895453E-03
          9.9999994039535522E-02         -8.5452264158253655E-19         -4.2287319936703972E-03
          1.0999999940395355E-01         -3.1725322191768759E-18         -4.6719846287736171E-03
          1.1999999731779099E-01         -4.0051688778794776E-17         -5.1102013093570105E-03
          1.2999999523162842E-01          2.6026463930134138E-17         -5.5818578378599203E-03
          1.4000000059604645E-01         -2.1350652078800123E-17         -6.0532657052334042E-03
          1.4999999105930328E-01          1.4235581964608416E-17         -6.5460997296875132E-03
          1.5999999642372131E-01         -1.6557842898628541E-17         -7.0251191448219303E-03
          1.7000000178813934E-01          4.7411126860340530E-18         -7.4958175191348177E-03
          1.7999999225139618E-01         -2.5004777953889785E-17         -7.9749900697379198E-03
          1.8999999761581421E-01         -2.0841849741762323E-18         -8.4351144877263338E-03
          2.0000000298023224E-01          1.9458968523583381E-17         -8.9264047556546072E-03
