# m =           1.0000000000000000E+00
# t_perp =           2.0000000000000001E-01
# mu =          -1.0000000000000000E+00
# d =           1.0000000000000000E+00
# delta=          1.0000000000000001E-05
# nk=251
# columns: Lambda Mx My
         0.0000000000000000E+000        -1.5080805594346289E-015        -4.3168993154248323E-016
         9.9999997764825821E-003         1.9607763299200755E-015        -4.2048722026963818E-004
         1.9999999552965164E-002         5.8658176030955162E-016        -8.4145043976847325E-004
         2.9999999329447746E-002        -8.4767156231387433E-017        -1.2635161810084692E-003
         3.9999999105930328E-002         1.8329535248026629E-016        -1.6888509176604784E-003
         4.9999997019767761E-002         1.4236994325176483E-015        -2.1184808261959396E-003
         5.9999998658895493E-002         7.0500025556788129E-017        -2.5462814720055636E-003
         7.0000000298023224E-002         5.6897035613932142E-016        -2.9723410490060664E-003
         7.9999998211860657E-002         1.2864641672237155E-015        -3.4039953351067400E-003
         8.9999996125698090E-002        -1.9396595182756835E-015        -3.8373016395613527E-003
         9.9999994039535522E-002         1.2583332364482554E-015        -4.2723352861847985E-003
         1.0999999940395355E-001         2.1998345572870555E-016        -4.7179081487223841E-003
         1.1999999731779099E-001         1.8004756112078920E-016        -5.1615070473920348E-003
         1.2999999523162842E-001        -5.5487228948184092E-016        -5.6109321450967349E-003
         1.4000000059604645E-001         1.4763529062321876E-015        -6.0628103628937923E-003
         1.4999999105930328E-001         6.3327702155889727E-016        -6.5402175589619697E-003
         1.5999999642372131E-001        -1.6927284146822121E-016        -7.0161968774878321E-003
         1.7000000178813934E-001         5.0767247952733503E-016        -7.4807618196887395E-003
         1.7999999225139618E-001         1.0335855897589713E-015        -7.9464351472250498E-003
         1.8999999761581421E-001        -1.5295145632529068E-015        -8.4332975349141383E-003
         2.0000000298023224E-001         9.9403914815726464E-017        -8.9144851434274520E-003
