# m =           1.0000000000000000E+00
# t_perp =           2.0000000000000001E-01
# mu =           0.0000000000000000E+00
# d =           1.0000000000000000E+00
# delta=          1.0000000000000001E-05
# nk=251
# columns: Lambda Mx My
          0.0000000000000000E+00         -4.0271114975428967E-19          3.3366418223870535E-19
          9.9999997764825821E-03          7.7488076062741160E-19          1.6048347354077441E-04
          1.9999999552965164E-02          1.7027142056347009E-18          3.2083360828311243E-04
          2.9999999329447746E-02          7.6473932890020563E-19          4.8091744948748508E-04
          3.9999999105930328E-02          4.6179671066845962E-18          6.4060280731630830E-04
          4.9999997019767761E-02          2.5538579133164373E-19          7.9975860170916179E-04
          5.9999998658895493E-02          5.8409690474589306E-19          9.5825537534085104E-04
          7.0000000298023224E-02         -9.8486673685716797E-19          1.1159653797011154E-03
          7.9999998211860657E-02         -4.3165361520586836E-18          1.2727630620821434E-03
          8.9999996125698090E-02          1.0047579169820175E-17          1.4285255016923681E-03
          9.9999994039535522E-02          3.3804542966885070E-19          1.5831325336997817E-03
          1.0999999940395355E-01         -5.3008177732214263E-18          1.7364672003752598E-03
          1.1999999731779099E-01          2.2100576987000596E-18          1.8884155502081486E-03
          1.2999999523162842E-01          7.8921506258373095E-18          2.0388675540064793E-03
          1.4000000059604645E-01          9.1725352069496660E-18          2.1877169620705024E-03
          1.4999999105930328E-01          1.5615567652830381E-18          2.3348610462187330E-03
          1.5999999642372131E-01          1.4290838185794617E-17          2.4802019623256281E-03
          1.7000000178813934E-01          3.5736939175581000E-18          2.6236454475014820E-03
          1.7999999225139618E-01         -7.5160244900324315E-18          2.7651015900177316E-03
          1.8999999761581421E-01         -5.3209457531096669E-18          2.9044855227393068E-03
          2.0000000298023224E-01         -1.4070476731559884E-17          3.0417162071912263E-03
